"location","lon","lat","date","region","travel","roles"
"Salvador, Brazil",NA,NA,"08/01/2016 12:23:00","LATAM (Latin America)","To anywhere in my country","Attending a satRday, Helping out a satRday"
"Cologne, Germany",6.9602786,50.937531,"08/01/2016 12:30:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 12:32:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Bengaluru, India",NA,NA,"08/01/2016 12:34:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday, Presenting at a satRday, Organising a satRday"
"Delhi, India",NA,NA,"08/01/2016 12:41:00","Other","To my nearest city","Attending a satRday"
"Brussels, Belgium",4.3517103,50.8503396,"08/01/2016 12:42:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Germany",NA,NA,"08/01/2016 12:52:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Turin, Italy",NA,NA,"08/01/2016 12:59:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday"
"Szeged, Hungary",NA,NA,"08/01/2016 13:00:00","Other","To my nearest city","Attending a satRday"
"Charlottetown, Canada",NA,NA,"08/01/2016 13:02:00","NA (North America)","To anywhere in my country","Attending a satRday"
"Washington, D.C.",NA,NA,"08/01/2016 13:05:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Helping improve the website"
"Santa Marta, Colombia",NA,NA,"08/01/2016 13:06:00","LATAM (Latin America)","To my nearest city","Attending a satRday, Helping publicise the events"
"Stockholm, Sweden",NA,NA,"08/01/2016 13:08:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday"
"Vienna, Austria",NA,NA,"08/01/2016 13:12:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday, Helping with central organisation"
"Philadelphia, USA",NA,NA,"08/01/2016 13:14:00","NA (North America)","To my nearest city","Attending a satRday"
"Philadelphia",NA,NA,"08/01/2016 13:20:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday, Helping with central organisation"
"St. Petersburg, FL",NA,NA,"08/01/2016 13:22:00","NA (North America)","To my nearest city","Attending a satRday"
"Mumbai, India",NA,NA,"08/01/2016 13:43:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday"
"Montpellier, France",NA,NA,"08/01/2016 13:49:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
"Williamsburg, VA, USA",NA,NA,"08/01/2016 13:53:00","NA (North America)","To my nearest city","Attending a satRday, Presenting at a satRday"
"Milan",NA,NA,"08/01/2016 14:09:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Helping out a satRday"
